sentence,label,intent
can you list all flights departing from country and landing in Delhi with a stopover in denver,O O O O O O O origin O O O destination O O O O O,flight
if I am going to Jaipur should I bring umbrella,O O O O O location O O O O,weather
what 's the weather like in Toronto,O O O O O O location,weather
show me the flights from Riyadh new jersey to ontario international next saturday,O O O O O origin O O O O O O O,flight
what is the flight schedule of the f_D_ from country to country,O O O O O O O O O origin O destination,other
how much is a limousine service in la guardia,O O O O O O O O O,other
I wonder how it feels today in Milan,O O O O O O O location,weather
find me the weather in Taipei,O O O O O location,weather
temperature in Hanoi,O O location,weather
find me the weather forecast for Dubai,O O O O O O location,weather
show me first class fares from Edirne to Madrid,O O O O O O origin O destination,other
what flights are available monday from Rome to Munich,O O O O O O origin O destination,flight
please list the ground transportation from lga into new york city,O O O O O O O O O O O,other
what flights go from Nice to Jeju on tuesday morning,O O O O origin O destination O O O,flight
round trip fares Sousse to Mexico City,O O O origin O destination destination,other
show me the earliest flight on wednesday from Hangzhou to Agra,O O O O O O O O origin O destination,flight
list type of aircraft for all flights from Burgas,O O O O O O O O origin,other
i would like information on any flights from Venice to Nice arriving in Nice before _D_ am tuesday morning,O O O O O O O O origin O destination O O destination O O O O O,flight
rental car in baltimore,O O O O,other
give me the least expensive first class round trip ticket on us air from Mexico City to Moscow,O O O O O O O O O O O O O O origin origin O destination,other
is ground transportation available in philadelphia,O O O O O O,other
I want to know if it will rain in Madrid,O O O O O O O O O location,weather
is it hot in Amman,O O O O location,weather
what does fare code m mean,O O O O O O,other
on august thirtieth please schedule me on a flight from Toronto to Chennai early in the morning,O O O O O O O O O O origin O destination O O O O,flight
temperature in Toronto,O O location,weather
i would like a flight from country to Cairo on august twentieth,O O O O O O origin O destination O O O,flight
flights between Hong Kong and Honolulu,O O origin origin O destination,flight
what 's the latest flight i can get from Dublin to Shanghai,O O O O O O O O O origin O destination,flight
which airlines fly from Prague to Shanghai dc via other cities,O O O O origin O destination O O O O,other
do I need to bring umbrella to Denpasar today,O O O O O O O location O,weather
may I know the weather in Mexico City,O O O O O O location location,weather
rain or sunny Tokyo,O O O location,weather
what types of ground transportation are there to san francisco airport,O O O O O O O O O O O,other
where do the flights from Melbourne to Abu Dhabi stop,O O O O O origin O destination destination O,other
show me the last flight available in the evening from Krabi to dc on july twenty first,O O O O O O O O O O origin O O O O O O,flight
do I need to bring umbrella to Munich today,O O O O O O O location O,weather
can you list flights from city to Chiang Mai with the lowest one way fares that leave on saturday,O O O O O origin O destination destination O O O O O O O O O O,flight
what is tpa,O O O,other
rain jacket needed in Manila now,O O O O location O,weather
what airline is hp,O O O O,other
what does the fare code qx mean,O O O O O O O,other
can i get a taxi from Venice Venice airport to downtown Venice Venice,O O O O O O origin origin O O O origin origin,other
list fares from Siem Reap dc to Milan that should be good,O O O origin origin O O destination O O O O,other
temperature in Zurich,O O location,weather
if I am going to Florence should I bring umbrella,O O O O O location O O O O,weather
show fares and flights from Denpasar to Edirne,O O O O O origin O destination,other
if I am going to Delhi should I bring umbrella,O O O O O location O O O O,weather
find me the weather forecast for Jeju,O O O O O O location,weather
show me the evening flights from Muğla to London,O O O O O O origin O destination,flight
show me all the one way fares from Siem Reap to Cancún,O O O O O O O O origin origin O destination,other
Frankfurt weather,location O,weather
show me all flights from Muğla or Muğla or Muğla that fly to Hanoi,O O O O O origin O origin O origin O O O destination,flight
can you list all flights that depart from Macau to Miami,O O O O O O O O origin O destination,flight
ground transportation in dallas and boston,O O O O O O,other
does midwest express serve montreal,O O O O O,flight
do I need to bring umbrella to Burgas today,O O O O O O O location O,weather
show me all flights from Rome to Doha nonstop,O O O O O origin O destination O,flight
please list the flights from Krabi dc to Istanbul,O O O O O origin O O destination,flight
first flights from Krabi to Shenzhen on a thursday,O O O origin O destination O O O,flight
i would like to book a flight from Taipei to Barcelona early in the morning on april ninth,O O O O O O O O origin O destination O O O O O O O,flight
what flights are available from Muğla to San Francisco on april twenty first in the late afternoon,O O O O O origin O destination destination O O O O O O O O,flight
what is the earliest flight from Florence to bwi that serves a snack,O O O O O O origin O O O O O O,flight
Lisbon temperature,location O,weather
is it going to be sunny in Paris,O O O O O O O location,weather
if I am going to Jaipur should I bring umbrella,O O O O O location O O O O,weather
find me the weather forecast for Chiang Mai,O O O O O O location location,weather
what is yyz,O O O,other
what airlines are departing from Johannesburg,O O O O O origin,other
i want to find the first flight from Shenzhen to Zurich that serves a meal,O O O O O O O O origin O destination O O O O,flight
flight from Delhi to Johannesburg arriving before _D_ pm on saturday,O O origin O destination O O O O O O,flight
i want a round trip fare from Punta Cana to Amsterdam,O O O O O O O origin origin O destination,other
thank you i also need to travel next wednesday evening from Nairobi to Zhuhai,O O O O O O O O O O O origin O destination,flight
rain or sunny Sofia,O O O location,weather
I wonder how it feels today in Taipei,O O O O O O O location,weather
if I am going to Budapest should I bring umbrella,O O O O O location O O O O,weather
give me the least expensive first class round trip ticket on us air from Munich to Nice,O O O O O O O O O O O O O O origin O destination,other
show me the flights from Sousse to Marrakech that arrive before noon,O O O O O origin O destination O O O O,flight
will it rain today in Jakarta,O O O O O location,weather
list all trans world airline flights from Jeju to Warsaw that arrive in Warsaw between _D_ am and _D_ am,O O O O O O O origin O destination O O O destination O O O O O O,flight
ground transportation atl to Burgas,O O O O destination,other
what type of aircraft is used on the first flight from Vienna to Manama in the morning,O O O O O O O O O O O origin O destination O O O,other
show me the dinner flights from Moscow to Siem Reap,O O O O O O origin O destination destination,flight
I want to know if it will rain in Shenzhen,O O O O O O O O O location,weather
i 'd like to find the earliest flight possible from Florence to Zurich,O O O O O O O O O O origin O destination,flight
rain jacket needed in Hangzhou now,O O O O location O,weather
united airlines flights stopping in denver,O O O O O O,flight
show ground transportation for pittsburgh,O O O O O,other
does tacoma airport offer transportation from the airport to the downtown area,O O O O O O O O O O O O,other
i want to travel from Moscow to Guangzhou round trip leaving wednesday june sixteenth arriving in Guangzhou at around _D_ o'clock in the evening and returning the next day arriving in Guangzhou Guangzhou at around _D_ o'clock in the evening which airlines fly that route,O O O O O origin O destination O O O O O O O O destination O O O O O O O O O O O O O O destination destination O O O O O O O O O O O O,flight
what is the cheapest round trip flight from Munich to Lima,O O O O O O O O origin O destination,flight
what ground transportation is available from dallas fort worth airport to downtown dallas,O O O O O O O O O O O O O,other
tell me distance from orlando airport to the city,O O O O O O O O O,other
what is the cheapest fare from Sydney to Burgas,O O O O O O origin O destination,other
which cities does united airlines service,O O O O O O,other
i want a return flight from Sydney to London on american airlines,O O O O O O origin O destination O O O,flight
Orlando weather,location O,weather
what type of aircraft is used on the flight from Burgas to Edirne before _D_ o'clock noon,O O O O O O O O O O origin O destination O O O O,other
what is fare code fn,O O O O O,other
i would like a flight between Amsterdam and Mumbai on any day at one in the afternoon,O O O O O O origin O destination O O O O O O O O,flight
is it going to be sunny in Toronto,O O O O O O O location,weather
I wonder how it feels today in Nice,O O O O O O O location,weather
what flights are there on continental from Cancún to Manila,O O O O O O O origin O destination,flight
Moscow humidity,location O,weather
is it raining in Nairobi,O O O O location,weather
what are all flights to Istanbul from Abu Dhabi on sunday,O O O O O destination O origin origin O O,flight
list daily flights from Munich to Kraków using twa,O O O O origin O destination O O,flight
i would like to find out the ground travel available in atlanta,O O O O O O O O O O O O,other
temperature in country,O O location,weather
what are the first class and coach fares for flights from Djerba to Chennai arriving around _D_ pm next thursday,O O O O O O O O O O O origin O destination O O O O O O,other
current weather in Buenos Aires,O O O location location,weather
does american airlines fly to Abu Dhabi from Seoul,O O O O O destination destination O origin,flight
may I know the weather in Las Vegas,O O O O O O location location,weather
show me all flights from Kiev to Jeju leaving on a tuesday,O O O O O origin O destination O O O O,flight
Shanghai weather,location O,weather
is it going to be sunny in Macau,O O O O O O O location,weather
temperature in Amman,O O location,weather
what is the price of american airlines flight _D_ from Nice to East Province,O O O O O O O O O O origin O destination destination,other
what is the ground transportation available in the city of philadelphia,O O O O O O O O O O O,other
weather in Berlin,O O location,weather
list daily flights from Antalya to Mecca using continental airlines,O O O O origin O destination O O O,flight
may I know the weather in Brussels,O O O O O O location,weather
i want to go and take a plane in Los Angeles and fly to Antalya,O O O O O O O O O origin origin O O O destination,other
what times does continental depart from Berlin to Jaipur,O O O O O O origin O destination,other
i would like the evening schedule of flights from Johannesburg to Hangzhou,O O O O O O O O O origin O destination,other
how long will it rain in Beijing,O O O O O O location,weather
how much would car rental cost in atlanta,O O O O O O O O,other
show me the price of flight ea _D_ from Delhi to Punta Cana,O O O O O O O O O origin O destination destination,other
fares between Beijing and Nairobi,O O origin O destination,other
could you please give me the cost of a round trip flight from Istanbul to East Province,O O O O O O O O O O O O O origin O destination destination,other
please list available ground transportation in pittsburgh,O O O O O O O,other
what flights from Chennai to Nice after _D_ am,O O O origin O destination O O O,flight
flights and fares from London to Johannesburg,O O O O origin O destination,other
what is the round trip first class fare on united from Mexico City to Burgas,O O O O O O O O O O O origin origin O destination,other
what flights depart Paris for Marrakech on friday,O O O origin O destination O O,flight
a first class flight to Melbourne on american airlines tuesday next week,O O O O O destination O O O O O O,flight
i want a flight originating in Nice going to Mecca and in either order,O O O O O O origin O O destination O O O O,flight
i need a round trip flight from Rome to Las Vegas dc and the fares,O O O O O O O origin O destination destination O O O O,other
how expensive is the san francisco limousine service,O O O O O O O O,other
which airline has the most business class flights,O O O O O O O O,other
I wonder how it feels today in Chennai,O O O O O O O location,weather
i would like the time your earliest flight from Siem Reap to Delhi,O O O O O O O O O origin origin O destination,other
which airline is as,O O O O,other
I wonder how it feels today in Macau,O O O O O O O location,weather
show me all meals on flights from Sousse to Frankfurt,O O O O O O O origin O destination,other
what is the earliest arrival in Moscow of a flight from Rome,O O O O O O destination O O O O origin,flight
find me the weather in Moscow,O O O O O location,weather
Jaipur weather,location O,weather
what are the fares for flights between Sofia and dfw provided by delta airlines,O O O O O O O origin O O O O O O,other
list the flights arriving in Artvin from Hangzhou before noon on august fourth,O O O O O destination O origin O O O O O,flight
which flights are leaving Hangzhou and arriving in Doha close to _D_ pm on tuesday,O O O O origin O O O destination O O O O O O,flight
define airline us,O O O,other
from Mecca to Lisbon one way after _D_ pm wednesday,O origin O destination O O O O O O,flight
are there any flights from Chiang Mai to Edirne stopping in denver,O O O O O origin origin O destination O O O,flight
rain or sunny Orlando,O O O location,weather
I want to know if it will rain in Taipei,O O O O O O O O O location,weather
if I am going to Kiev should I bring umbrella,O O O O O location O O O O,weather
find me the weather in Shenzhen,O O O O O location,weather
i need a flight from Amsterdam to Denpasar that leaves wednesday and arrives in Denpasar around _D_ pm,O O O O O origin O destination O O O O O O destination O O O,flight
current weather in city,O O O location,weather
i need information on ground transportation between airport and downtown in the Mexico City,O O O O O O O O O O O O destination destination,other
show me the morning flights from Bucharest to Lisbon,O O O O O O origin O destination,flight
how many airports does oakland have,O O O O O O,other
list all flights departing from general mitchell,O O O O O O O,flight
can you list all flights departing from Brussels and landing in Suzhou with a stopover in denver,O O O O O O O origin O O O destination O O O O O,flight
show me flights between San Francisco and Nice,O O O O origin origin O destination,flight
how long will it rain in Muğla,O O O O O O location,weather
show me all flights to Kiev from Muğla Muğla Muğla and Muğla,O O O O O destination O origin origin origin O origin,flight
list the fares of us air flights from Antalya to Zhuhai,O O O O O O O O origin O destination,other
what is yyz,O O O,other
show me the air fare for the flights from Manila to Pattaya,O O O O O O O O O origin O destination,other
what is airline dl,O O O O,other
may I know the weather in Kraków,O O O O O O location,weather
please show me airlines with flights from Punta Cana to Pattaya with stop in philadelphia,O O O O O O O origin origin O destination O O O O,other
show me all flights out of Singapore on june twentieth that have business class,O O O O O O origin O O O O O O O,flight
tell me about flights leaving from Melbourne and going to Madrid north carolina next monday i need to know about flights that arrive in Madrid between _D_ and _D_ pm,O O O O O O origin O O O destination O O O O O O O O O O O O O destination O O O O O,flight
what is the cost of limousine service in philadelphia,O O O O O O O O O,other
how long will it rain in Dubai,O O O O O O location,weather
is there a flight on delta airlines from Rome to Kiev,O O O O O O O O origin O destination,flight
what ground transportation is there in dallas,O O O O O O O,other
what delta flights are available from Manila to Amsterdam,O O O O O O origin O destination,flight
what is the economy thrift fare from Vienna to Warsaw,O O O O O O O origin O destination,other
show me all flights from Punta Cana to Mecca on june sixteenth arriving around _D_ o'clock in the evening,O O O O O origin origin O destination O O O O O O O O O O,flight
do I need to bring umbrella to San Francisco today,O O O O O O O location location O,weather
how many first class flights does delta airlines have,O O O O O O O O O,other
I wonder how it feels today in Manila,O O O O O O O location,weather
how long will it rain in Hanoi,O O O O O O location,weather
list early evening flights from Paris to Lisbon,O O O O O origin O destination,flight
do I need to bring umbrella to Sofia today,O O O O O O O location O,weather
what are the coach class fares on flights from Moscow to Punta Cana,O O O O O O O O O origin O destination destination,other
what is the fare for a one way flight from Venice to Sharjah,O O O O O O O O O O origin O destination,other
how long will it rain in Lisbon,O O O O O O location,weather
on april eighth i would like to book a flight from Punta Cana to Hangzhou,O O O O O O O O O O O origin origin O destination,flight
what is the cost of limousine service in philadelphia,O O O O O O O O O,other
which flights are there on tuesday from Sydney to Hanoi,O O O O O O O origin O destination,flight
saturday or sunday flights between Amsterdam and Melbourne american airlines,O O O O O origin O destination O O,flight
what flights go from Rome to Hong Kong via indianapolis,O O O O origin O destination destination O O,flight
what is fare code fn,O O O O O,other
i want to fly from Hanoi to Tokyo via dallas fort worth on american airlines,O O O O O origin O destination O O O O O O O,flight
on november twenty third of this year _D_ i 'd like to fly from Delhi to Buenos Aires and i 'd like to fly on delta,O O O O O O O O O O O O O O origin O destination destination O O O O O O O O,flight
if I am going to Kraków should I bring umbrella,O O O O O location O O O O,weather
I want to know if it will rain in Chennai,O O O O O O O O O location,weather
if I am going to Artvin should I bring umbrella,O O O O O location O O O O,weather
i actually want to go from Mexico City to Edirne via chicago,O O O O O O origin origin O destination O O,flight
afternoon flight from Guilin to Bucharest,O O O origin O destination,flight
temperature in Madrid,O O location,weather
what is the seating capacity of the type of aircraft m_D_,O O O O O O O O O O O,other
which airline has the most business class flights,O O O O O O O O,other
what does fn under fare code mean,O O O O O O O,other
show me ground transportation in denver during weekdays,O O O O O O O O,other
what are the coach fares for flights from Guilin to Amsterdam tuesday afternoon,O O O O O O O O origin O destination O O,other
list flights and fares from San Francisco to Jaipur round trip leaving saturday returning next saturday,O O O O O origin origin O destination O O O O O O O,other
what are the flights between London and Seoul,O O O O O origin O destination,flight
which flights are between Johannesburg and Artvin,O O O O origin O destination,flight
please list the afternoon flights from Vienna to Taipei,O O O O O O origin O destination,flight
list all sunday flights from Siem Reap to San Francisco and their fares,O O O O O origin origin O destination destination O O O,other
please show me airlines with flight service from Berlin to Denpasar from Berlin to Denpasar and from Berlin to Denpasar,O O O O O O O O origin O destination O origin O destination O O origin O destination,other
weather in Jaipur,O O location,weather
will Kraków be hot,O location O O,weather
train to newark,O O O,other
show me the airlines with first class flights,O O O O O O O O,other
show me a list of flights from Chennai to dc arriving before _D_ am on july twenty second,O O O O O O O origin O O O O O O O O O O,flight
show me flights between Istanbul tennessee and Nairobi,O O O O origin O O destination,flight
i need flight and fare information departing from Venice to Prague on thursday before _D_ am,O O O O O O O O origin O destination O O O O O,other
give me the flights from Dublin to Vienna nonstop,O O O O O origin O destination O,flight
show me flights between Punta Cana tennessee and Nice,O O O O origin origin O O destination,flight
tuesday morning flights between Shenzhen and Lima,O O O O origin O destination,flight
show me flights Venice to Artvin on wednesday,O O O origin O destination O O,flight
can you list all flights that depart from Madrid to Kuala Lumpur,O O O O O O O O origin O destination destination,flight
may I know the weather in Jaipur,O O O O O O location,weather
temperature in Prague,O O location,weather
list all american airline flights which leave Zhuhai on wednesday and stop at milwaukee,O O O O O O O origin O O O O O O,flight
is it going to be sunny in Muğla,O O O O O O O location,weather
show flights from Prague to Dubai on monday,O O O origin O destination O O,flight
do you have a flight from Suzhou to Sousse on june second,O O O O O O origin O destination O O O,flight
what do you have going from Venice to Venice serving breakfast,O O O O O O origin O destination O O,flight
what flights from Frankfurt to Kraków on saturday,O O O origin O destination O O,flight
i need a flight on friday afternoon in june from Cancún to Los Angeles,O O O O O O O O O O origin O destination destination,flight
show me the airlines with first class flights,O O O O O O O O,other
I wonder how it feels today in Munich,O O O O O O O location,weather
what is the available ground transportation between Antalya and downtown,O O O O O O O origin O O,other
what 's the cheapest first class airfare from Chennai to Sofia,O O O O O O O O origin O destination,other
rain or sunny Orlando,O O O location,weather
show me flights Manila to Krabi on wednesday,O O O origin O destination O O,flight
can you show me the cheapest round trip flights between Abu Dhabi and Milan,O O O O O O O O O O origin origin O destination,flight
show me information on ground transportation for dallas,O O O O O O O O,other
show me all flights from Johannesburg or Johannesburg or Johannesburg that fly to Muğla,O O O O O origin O origin O origin O O O destination,flight
what does it cost to fly from Buenos Aires to Burgas on united airlines flight _D_,O O O O O O O origin origin O destination O O O O O,other
flight information from Moscow to Artvin,O O O origin O destination,flight
Nairobi weather,location O,weather
please list all flights that leave Orlando before noon on northwest airlines,O O O O O O origin O O O O O,flight
temperature in Zurich,O O location,weather
let 's look at Florence to Edirne again,O O O O origin O destination O,flight
find flight from Jaipur to Phuket on monday,O O O origin O destination O O,flight
if I am going to Miami should I bring umbrella,O O O O O location O O O O,weather
how long will it rain in Marrakech,O O O O O O location,weather
show me all the flights from Hangzhou to Krabi on us air,O O O O O O origin O destination O O O,flight
what type of airplane is an m_D_,O O O O O O O,other
temperature in Delhi,O O location,weather
if I am going to Lima should I bring umbrella,O O O O O location O O O O,weather
is there an airline that has a flight from Venice to Pattaya with a stop in dallas,O O O O O O O O O origin O destination O O O O O,other
what is the name of the airport at denver,O O O O O O O O O,other
does midwest express serve cleveland,O O O O O,flight
is there an airport limousine at the atlanta airport,O O O O O O O O O,other
show me all flights to Amsterdam from Abu Dhabi Abu Dhabi Abu Dhabi and Abu Dhabi,O O O O O destination O origin origin origin origin origin origin O origin origin,flight
rain or sunny Abu Dhabi,O O O location location,weather
what 's the lowest round trip fare from Jakarta to Tokyo,O O O O O O O O origin O destination,other
what is the aircraft type with the greatest seating capacity,O O O O O O O O O O,other
what 's the schedule of flights from Orlando to Frankfurt on august first,O O O O O O O origin O destination O O O,other
rain or sunny Zhuhai,O O O location,weather
are there any flights from Beijing to city that stop,O O O O O origin O destination O O,flight
what does the meal code s stand for,O O O O O O O O,other
do I need to bring umbrella to East Province today,O O O O O O O location location O,weather
Los Angeles Los Angeles Los Angeles to Brussels Brussels and Los Angeles to Brussels Brussels on sunday,origin origin origin origin origin origin O destination destination O origin origin O destination destination O O,flight
show me all flights from Taipei Taipei to Brussels leaving on a tuesday and show me all flights from Taipei to Brussels Brussels leaving on sunday,O O O O O origin origin O destination O O O O O O O O O O origin O destination destination O O O,flight
is it hot in London,O O O O location,weather
flights from Phuket to Chiang Mai on sunday on continental,O O origin O destination destination O O O O,flight
weather in Brussels,O O location,weather
is it raining in Cairo,O O O O location,weather
what are the flights from Lima to Hangzhou on thursday,O O O O O origin O destination O O,flight
give me information on flights from Kiev to city dc on wednesday after _D_ pm and thursday before _D_ am,O O O O O O origin O destination O O O O O O O O O O O,flight
show me the nonstop flights and fares from Manama to Chennai,O O O O O O O O origin O destination,other
i 'd like an afternoon flight from Buenos Aires to Zhuhai with a stopover in denver arriving i 'd say about mealtime,O O O O O O O origin origin O destination O O O O O O O O O O O,flight
give me the saturday morning flights with meals from Artvin to Budapest,O O O O O O O O O origin O destination,flight
I want to know if it will rain in Venice,O O O O O O O O O location,weather
temperature in Chennai,O O location,weather
please show me airlines with flights from Dublin to Zurich,O O O O O O O origin O destination,other
show me the fares from Sousse to Macau,O O O O O origin O destination,other
I want to know if it will rain in city,O O O O O O O O O location,weather
i need a flight from Shanghai to Antalya nonstop arriving at _D_ pm please,O O O O O origin O destination O O O O O O,flight
what 's the difference between fare code q and fare code f,O O O O O O O O O O O O,other
temperature in Barcelona,O O location,weather
what is the cost of flights from Shanghai to Shanghai,O O O O O O O origin O destination,other
what does ua stand for,O O O O O,other
show me flights from Lima to Istanbul on weekdays,O O O O origin O destination O O,flight
what does ua stand for,O O O O O,other
if I am going to Denpasar should I bring umbrella,O O O O O location O O O O,weather
is it going to be sunny in Kiev,O O O O O O O location,weather
show me a list of flights from Prague to dc arriving before _D_ am on july twenty second,O O O O O O O origin O O O O O O O O O O,flight
what is the cost of limousine service in philadelphia,O O O O O O O O O,other
what meals are there on flight _D_ from Dublin to Berlin dc on tuesday morning,O O O O O O O O origin O destination O O O O,other
all flights and fares from Madrid to Guangzhou round trip after _D_ pm less than _D_ dollars,O O O O O origin O destination O O O O O O O O O,other
is it raining in San Francisco,O O O O location location,weather
show me flights from Chiang Mai to country on monday,O O O O origin origin O destination O O,flight
how long will it rain in Munich,O O O O O O location,weather
Prague humidity,location O,weather
current weather in Agra,O O O location,weather
please list the sunday flights from Punta Cana to Venice on american airlines,O O O O O O origin origin O destination O O O,flight
rain jacket needed in Artvin now,O O O O location O,weather
what is the cheapest flight from Marrakech to Macau on sunday,O O O O O O origin O destination O O,flight
i 'll need to rent a car in washington dc,O O O O O O O O O O,other
what are the flights between Dubai and Manila,O O O O O origin O destination,flight
temperature in Shanghai,O O location,weather
what are all flights from Muğla to Amsterdam on saturday,O O O O O origin O destination O O,flight
list flights from Lisbon california to Prague florida,O O O origin O O destination O,flight
will it rain today in Amsterdam,O O O O O location,weather
will it rain today in Riyadh,O O O O O location,weather
will Florence be hot,O location O O,weather
round trip fares from Muğla to Tokyo under _D_ dollars and Muğla to Tokyo under _D_ dollars,O O O O origin O destination O O O O origin O destination O O O,other
is bwi washington,O O O,other
I wonder how it feels today in Nairobi,O O O O O O O location,weather
list early evening flights from Bucharest to Kraków,O O O O O origin O destination,flight
find me the weather in Punta Cana,O O O O O location location,weather
ground transportation oakland,O O O,other
what are the air restrictions on flights from city to Vancouver for the airfare of _D_ dollars,O O O O O O O O origin O destination O O O O O O,other
list flights from Las Vegas to Artvin friday am,O O O origin origin O destination O O,flight
what is the latest flight in the day from Jaipur to city,O O O O O O O O O origin O destination,flight
what ground transportation is available at baltimore,O O O O O O O,other
can you list flights departing from Madrid and arriving in Orlando,O O O O O O origin O O O destination,flight
Denpasar weather,location O,weather
does midwest express serve cleveland,O O O O O,flight
what is the earliest flight from Abu Dhabi to bwi that serves a snack,O O O O O O origin origin O O O O O O,flight
give me flights that arrive in Bucharest from Riyadh,O O O O O O destination O origin,flight
how do i get to Vienna downtown from the airport,O O O O O destination O O O O,other
I want to know if it will rain in Antalya,O O O O O O O O O location,weather
I want to know if it will rain in Muğla,O O O O O O O O O location,weather
do I need to bring umbrella to Kiev today,O O O O O O O location O,weather
are there any nonstop flights from Punta Cana to Doha on wednesday may twelfth,O O O O O O origin origin O destination O O O O,flight
is it raining in Sharjah,O O O O location,weather
list all daily flights between Venice and Melbourne using american airlines,O O O O O origin O destination O O O,flight
do I need to bring umbrella to Johannesburg today,O O O O O O O location O,weather
city weather,location O,weather
how much is the cheapest flight from Toronto to Sydney with a stop in atlanta,O O O O O O O origin O destination O O O O O,other
find me the earliest Edirne departure and the latest Edirne return trip so that i can be on the ground the maximum amount of time in Paris and return to Paris on the same day,O O O O origin O O O O origin O O O O O O O O O O O O O O O O destination O O O destination O O O O,flight
are there any flights after _D_ pm from Jeju to Paris,O O O O O O O O origin O destination,flight
what is the distance from los angeles international airport to Cairo,O O O O O O O O O O destination,other
weather in Manila,O O location,weather
is there a direct flight from Denpasar to Sharjah that arrives in Sharjah around _D_ noon,O O O O O O origin O destination O O O destination O O O,flight
i am looking for the cheapest fare from Sofia to Zhuhai on december twenty seventh,O O O O O O O O origin O destination O O O O,other
show me the itinerary of the connecting flight from Siem Reap to Muğla that departs Siem Reap at _D_ am,O O O O O O O O O origin origin O destination O O origin origin O O O,flight
explain the fare codes,O O O O,other
will it rain today in Amsterdam,O O O O O location,weather
how long is a trip from philadelphia airport to downtown Bucharest,O O O O O O O O O O destination,other
i 'd like to fly from Warsaw to Zhuhai,O O O O O O origin O destination,flight
what kind of aircraft does delta fly before _D_ am on august second from Antalya to Berlin,O O O O O O O O O O O O O O origin O destination,other
is it going to be sunny in Sousse,O O O O O O O location,weather
ground transportation dallas,O O O,other
let 's see how much would a direct flight from Guangzhou to Beijing be on may seventh,O O O O O O O O O O origin O destination O O O O,other
show me the morning flights from Chiang Mai to country,O O O O O O origin origin O destination,flight
show me the names of airlines in atlanta,O O O O O O O O,other
i need a flight on thursday before _D_ am from Nairobi to Sharjah,O O O O O O O O O O origin O destination,flight
what ground transportation is available from la guardia airport into new york city,O O O O O O O O O O O O O,other
what airlines are departing from Tokyo,O O O O O origin,other
Brussels weather,location O,weather
I want to know if it will rain in Muğla,O O O O O O O O O location,weather
Sharjah temperature,location O,weather
how long does the ground transportation take from the salt lake city airport,O O O O O O O O O O O O O,other
what are the fares between Buenos Aires and Las Vegas on monday morning,O O O O O origin origin O destination destination O O O,other
list daily flights from Florence to Sydney,O O O O origin O destination,flight
list flights from Cancún to Djerba on friday,O O O origin O destination O O,flight
will it rain today in Tokyo,O O O O O location,weather
what is the code for business class,O O O O O O O,other
temperature in Zhuhai,O O location,weather
i need information on ground transportation from the airport in Beijing,O O O O O O O O O O origin,other
what 's the last flight from Venice to Doha,O O O O O O origin O destination,flight
rain or sunny Manila,O O O location,weather
Orlando temperature,location O,weather
i would like a flight from Berlin to Sofia Sofia that arrives in Sofia Sofia around _D_ pm and is nonstop,O O O O O O origin O destination destination O O O destination destination O O O O O O,flight
what 's the weather like in Zhuhai,O O O O O O location,weather
i would like to fly from Marrakech to East Province with a stopover in dallas,O O O O O O origin O destination destination O O O O O,flight
temperature in Singapore,O O location,weather
what airline uses the code hp,O O O O O O,other
us air _D_ leaving Dublin at _D_ what is the arrival time in Mexico City,O O O O origin O O O O O O O O destination destination,flight
list the distance in miles from toronto international airport to downtown toronto,O O O O O O O O O O O O,other
i need a flight from country to Sharjah via dallas fort worth,O O O O O origin O destination O O O O,flight
i need a flight on friday afternoon in june from Agra to Berlin,O O O O O O O O O O origin O destination,flight
what is the latest flight in the day from Hong Kong to Antalya,O O O O O O O O O origin origin O destination,flight
will it rain today in Bangkok,O O O O O location,weather
show me all flights from Paris to Pattaya one way,O O O O O origin O destination O O,flight
please explain fare code f,O O O O O,other
Shenzhen temperature,location O,weather
is there an american airlines flight from Suzhou to Milan on june tenth after _D_ pm,O O O O O O O origin O destination O O O O O O,flight
does united airlines provide any first class flights from Mexico City to Madrid,O O O O O O O O O origin origin O destination,flight
what airlines go from Brussels to Buenos Aires,O O O O origin O destination destination,other
show me one way flights from Dublin to Bucharest wednesday,O O O O O O origin O destination O,flight
what is the fare for a first class round trip ticket from Guangzhou to Melbourne,O O O O O O O O O O O O origin O destination,other
if I am going to Barcelona should I bring umbrella,O O O O O location O O O O,weather
show me the lowest fare for a round trip flight from Budapest to Antalya,O O O O O O O O O O O origin O destination,other
find the latest flight from Frankfurt to Cancún that serves a meal,O O O O O origin O destination O O O O,flight
in economy class from Rome to Istanbul arriving july seventh i 'd like to know what 's the cheapest ticket possible,O O O O origin O destination O O O O O O O O O O O O O O,other
how many first class flights are provided by american airlines,O O O O O O O O O O,other
Kiev to Lima one way before _D_ am,origin O destination O O O O O,flight
ground transportation please in the city of boston between airport and downtown,O O O O O O O O O O O O,other
ground transportation for las vegas,O O O O O,other
what 's the weather like in Manama,O O O O O O location,weather
list the cheapest fare from Buenos Aires to Honolulu,O O O O O origin origin O destination,other
from Brussels to Jeju on a friday,O origin O destination O O O,flight
temperature in Artvin,O O location,weather
what airline is as,O O O O,other
what is fare code m,O O O O O,other
flight from Suzhou to Bangkok arriving before _D_ pm on saturday,O O origin O destination O O O O O O,flight
find flights arriving Budapest next saturday,O O O destination O O,flight
i want to fly from Sydney to Nairobi and i want the cheapest fare round trip,O O O O O origin O destination O O O O O O O O,flight
